Cc1nc(CNC(=O)c2c(C)oc(C)c2C)no1, fitness:0.00470321845209
COc1ccc(OC)c(NC(=O)C2CC2c2ccccc2)c1, fitness:0.0970011521317
CC(NC(=O)c1ccoc1)C(=O)Nc1cc(F)cc(F)c1, fitness:0.0353532405328
Cc1cccc(C)c1NC(=O)c1ncc2ncc(C)c(C)n12, fitness:0.0172088495942
CC(NC(=O)c1ccoc1)c1ccccc1OCC1CCCO1, fitness:0.621289887703
CC(=O)Nc1ccccc1C(=O)Nc1cn(-c2ccccc2)nc1C, fitness:0.0842585539897
Cn1c(SCC(=O)Nc2cccc(Cl)c2)nnc1C1CC1, fitness:1.63162157496
Cc1c(C(=O)NCc2cc(OC3CCC3)ccn2)[nH]c2ccccc12, fitness:1.40347177858
CCOc1ccccc1CNC(=O)N1CCN(C(=O)c2ccco2)CC1, fitness:0.782445024248
CC(=O)Nc1ccccc1-c1scnc1CN1CCOCC1, fitness:1.09245623796
CCN(Cc1ccccc1)C(=O)Cn1cc(C)sc1=O, fitness:0.0697369005246
CC(C)C(C)N1CCN(C(=O)NCC(C)(C)c2ccncc2)CC1, fitness:0.133094857043
O=C(NCC1(c2ccccc2)CCC1)c1ccc2nnnn2c1, fitness:0.78469319466
Cc1nnc(C#N)c(C)c1N1CCCCC1C(=O)Nc1ccccc1F, fitness:0.719776349221
N#Cc1ccccc1C(=O)NCc1cc2ccccc2[nH]1, fitness:0.0702875158287
CN(C)c1cnccc1C(=O)Nc1ccccc1C(=O)N1CCCC1, fitness:1.16696410148
COc1cccc(NC(=O)c2c(C)cc[nH]c2=O)c1OC, fitness:0.124354406452
Cn1cc(C(=O)N2CCC(Oc3ccccc3Cl)C2)c(=O)[nH]c1=O, fitness:0.680468635578
Cc1ccc(C(=O)N2CCCC2COc2ccccc2)cn1, fitness:1.06945937875
Cc1cncc(C(=O)Nc2cccc(-n3ccnc3)c2Cl)c1, fitness:1.28008709327
CCN1CCN(C(=O)COCc2nc(C)no2)CC1, fitness:0.0708808893606
Cc1ccc(C(=O)NCC(O)c2cccc(C(F)(F)F)c2)s1, fitness:0.793595945316
Cc1ccc(CNS(=O)(=O)c2ccc(C#N)cc2)cc1, fitness:0.00253393236623
C=C(C)n1nnnc1SCC(=O)Nc1cccc(C)c1F, fitness:1.15210957345
CCN(C(=O)Cn1cnc(=O)c2c(C)cccc21)C1CC1, fitness:1.25575417278
Cc1ccc(CN(C)C(=O)CCOc2cccc(F)c2)o1, fitness:1.24431499162
CC(C)(O)CN1CCN(C(=O)Cc2ccsc2)CC1, fitness:0.035162564476
CNC(=O)c1ccc(CNC(=O)c2cn3cc(C)ccc3n2)cc1, fitness:0.39278830903
COC(=O)c1cccc(F)c1NC(=O)c1cnns1, fitness:0.200969002336
CC(=O)Nc1ccccc1C(=O)NCc1noc(C(C)C)n1, fitness:0.588278389274
COc1cccc(OC)c1C(=O)NCc1ccccc1C#N, fitness:0.0208765981492
COc1cccc(OC)c1CNC(=O)c1ccccn1, fitness:0.0117843449526
CC(=O)NCC(=O)NCc1ccc(Oc2cccc(F)c2)nc1, fitness:1.12413202568
O=C1CCCN1CCC(=O)N1CCc2cc(Br)ccc21, fitness:0.191016153285
COc1cccc(C(=O)Nc2nc(C3CC3)cs2)c1OC, fitness:1.10551234487
CC1CC1C(=O)NCCN1CCN(C(=O)c2ccc(O)cc2)CC1, fitness:0.207252702453
Cc1cscc1CNC(=O)C(C)Oc1ccccc1C, fitness:0.0663626536654
CCc1ccccc1NC(=O)C(C)c1n[nH]cc1N, fitness:0.176959652327
C=C(C)N(C(=C)C)S(=O)(=O)c1cccc2c1CCCC2, fitness:0.0026129761519
Cc1cnoc1CNC(=O)c1cccc2c1CCN2, fitness:1.1844948277
CN(Cc1ccccc1Cl)C(=O)c1cscc1NC(=O)C1CC1, fitness:0.931673313569
CCC(C)NC(=O)c1c(Br)cccc1OC, fitness:0.000918576194993
Cc1ccc(C(=O)Nc2nnc(C(C)C)s2)cc1NC(=O)c1ccco1, fitness:1.08129505522
N#Cc1ccc(N2CCC(C(=O)NCc3ccccc3F)CC2)nc1, fitness:0.914708942183
CCN(CC)C(=O)c1c(-c2ccccc2)cnn1-c1ccccc1, fitness:0.0125747055944
Cc1cc(F)cc(C(=O)NCc2nccn2C(F)F)c1, fitness:0.471106670877
CCOC(=O)c1[nH]ncc1NC(=O)c1c(F)cccc1F, fitness:0.183088143072
CC1CN(C(=O)NCc2ccccc2Cn2cccn2)CC(C)O1, fitness:0.711145822752
Cc1nc2ccccc2nc1COC(=O)c1cnccn1, fitness:0.101469080569
CC(C)N(CCCO)C(=O)c1cc(F)ccc1Br, fitness:0.00474218519742
COc1ccccc1NC(=O)CSc1nnc(C2CC2)n1C, fitness:1.32206882058
CC(C)NC(=O)Cn1cc(-c2nnco2)ccc1=O, fitness:0.371128494643
CC(C)Oc1ccccc1NCC(=O)N1CCOCC1, fitness:0.140829332517
CCN(CC(=O)NC(C)C)C(=O)c1ccccc1OC1CCCC1, fitness:0.00786516825713
Cc1c(F)cccc1C(=O)NC(C)C1Cc2ccccc2N1, fitness:0.685247971315
CC1COCC(C)N1CC(=O)NCc1ccc(OC(F)F)cc1, fitness:0.320386566199
CN(Cc1cccc(F)c1)C(=O)c1cnc(C2CCCO2)s1, fitness:1.0460576097
CN(Cc1n[nH]cc1N)C(=O)Nc1ccc(OCC2CC2)cc1, fitness:1.11771135059
CC(C)n1nccc1CNC(=O)c1sccc1-c1ccccc1, fitness:1.02859492689
CC(=O)Nc1ccccc1CNC(=O)C1Cc2ccccc2N1, fitness:0.239192163193
CC1CCC(N(C)C(=O)Cc2ccc(-n3cnnn3)cc2)CC1, fitness:0.546928035469
Cc1cccc(NC(=O)CSc2nnc(C3CC3)n2N)c1, fitness:1.67270070296
Cc1scnc1CNC(=O)c1cccc(OCC2CCOC2)c1, fitness:1.0267818513
O=C(Cc1ccc(Cl)cc1)Nc1cc(-n2ccnc2)ccn1, fitness:0.820050471132
CC(C)c1nc(CN2CCN(C(=O)c3cccc(F)c3)CC2)no1, fitness:0.997516008112
Cc1nc(C2CCCN2C(=O)C(C)OCC2CC2)no1, fitness:0.669597713704
CCOC(=O)c1cc(CC)sc1NC(=O)c1ccc(F)cc1, fitness:0.194370074011
CC(=O)Nc1ccc(CN2CCN(C(=O)c3ccc(C)cc3)CC2)cc1, fitness:0.0804639360114
CS(=O)(=O)N1CCCC(C(=O)NCc2ccc(F)cc2)C1, fitness:0.374728683413
Cc1ccc(S(=O)(=O)NC(C#N)c2ccc(F)cc2)cc1, fitness:0.00462016490104
COc1ccccc1C1CC=CCN1C(=O)Cc1ccccc1C, fitness:0.765800679625
CN(CC(=O)Nc1ccc(Cl)cc1)C(=O)c1ccccn1, fitness:0.133424521684
CC(C)c1noc(CN(C)C(=O)Cc2ccccc2F)n1, fitness:0.650363808269
CCN(CC)C(=O)c1ccccc1NC(=O)Cn1cncn1, fitness:0.392616434808
Cc1ccc(C(=O)Nc2ccc(OCC(F)(F)F)nc2)s1, fitness:0.710630491948
COC(=O)CN(C(=O)c1ccc(Cl)cc1C)C(C)C, fitness:0.0031511159356
CC(O)(CNC(=O)c1ccccc1N1CNCC1=O)c1cccs1, fitness:0.562011537854
O=C(NCc1ccccn1)C1CC12CCN(C(=O)c1ccc(F)cc1)C2, fitness:0.633024639342
N#CCOc1ccccc1CC(=O)Nc1ccc(C#N)cc1, fitness:0.0711151616587
O=C(CN1CCCCC1=O)Nc1cccc(-c2ccn[nH]2)c1, fitness:1.36590642054
Cc1cscc1CNC(=O)C1C(=O)CCN1C1CCCC1, fitness:0.694968501927
Cc1cc(C(=O)NCc2ccnc(Oc3ccccc3)c2)c(C)o1, fitness:1.3697951391
CC(=O)Nc1ccccc1CC(=O)NC(C)(C)CO, fitness:0.000828549165543
COc1ccc(C(=O)NC2CCN(C(=O)c3ccoc3)CC2)cc1, fitness:0.474499076512
CC(C)(C)n1nc(C(=O)NCCc2ccsc2)cc1C1CC1, fitness:1.02633801197
COc1ccc(NC(=O)Cn2c(CO)nc3ccccc32)cc1, fitness:1.60328983817
Cc1cscc1C(=O)NC(C)n1c(C)nc2ccccc21, fitness:0.370204012605
CN(Cc1cccs1)C(=O)CNc1cccc(Cl)c1, fitness:0.338323349697
Cc1cocc1C(=O)N1CCCC1Oc1ccccc1Cl, fitness:0.781116616463
CC(=O)Nc1ccc(C(=O)N(C)Cc2ccc(C)s2)cc1, fitness:0.0347263774833
CC(C)(C)OC(=O)NCC(c1cccc(Cl)c1)N1CCOCC1, fitness:0.79393596595
Cc1cccc(NC(=O)C(C)c2ccnn2-c2ccccc2)c1C, fitness:0.356041295118
CCOC(=O)c1ccc(NCC(=O)Nc2ccc(C)cc2)cc1, fitness:0.0115499904706
COC(=O)c1ccc(Cn2c(C(F)(F)F)nc3ccccc32)o1, fitness:1.02905768763
Cc1ccccc1NC(=O)CSc1nnc(C2CC2)n1C, fitness:1.60176132713
CC(C#N)NC(=O)CSc1ccc(Cl)cc1, fitness:0.00050268904768
Cc1nc(NCC(=O)N2CCCC2)c(C)c(N2CCCCC2)n1, fitness:0.022401181777
CC(=O)NCC1CCN(C(=O)NC(C)c2cccc(C)c2)CC1, fitness:0.881494461449
Cc1occc1C(=O)NCC(C)OCC1CCCO1, fitness:0.776680605674
CC(C)n1c(C2C(=O)CCN2c2cccc(F)c2)nc2ccccc21, fitness:0.835956543792
O=C(Nc1cccc(Cn2cncn2)c1)c1ccc(C(F)(F)F)cc1, fitness:1.00333089256
O=C(CSc1cccc(F)c1)NCC(O)c1ccsc1, fitness:0.75600914401
CC(C)Oc1cc(CN(C)C(=O)c2cnccn2)ccn1, fitness:0.813557798385
Cc1ncoc1CNC(=O)NCC1CSc2ccccc21, fitness:0.873119393097
O=C(CSc1nncn1C1CC1)NCc1ccccc1, fitness:0.406200929669
CC(=O)N1CCCCC1c1cc(NCc2ccccn2)nc(C)n1, fitness:1.16711916075
Cc1ccc(C(=O)N(C)Cc2cc(OCC(F)(F)F)ccn2)cc1, fitness:1.2564130527
CCN(CC1CCCO1)C(=O)Nc1ccc2oc(C)nc2c1, fitness:1.43487829409
CN(Cc1ccccc1)C(=O)C1CCN1C(=O)c1ccccc1F, fitness:0.270445333147
Cc1cc(NC(=O)CC(C)C)cc(NC(=O)c2ccco2)c1, fitness:0.0815588708969
O=C(NCc1ccccc1Cn1cccn1)N1CCCCC1O, fitness:0.797407036541
Cc1ccc(C(=O)N2CCC(CNc3ncc(F)cn3)CC2)o1, fitness:1.0880599435
COc1cc(F)cc(C(=O)NC23CC(C)(C)C2CCO3)c1, fitness:0.494211619891
CC(C)Cc1c[nH]c(=NC(=O)c2ccccc2-c2ncn[nH]2)s1, fitness:0.63138262324
Cc1cc(C)cc(NC(=O)CSc2cncnc2N)c1, fitness:0.0996044986836
CC(=O)Nc1cccc(OCc2nnnn2-c2cccc(C)c2)c1, fitness:1.41511632009
O=C(Cn1cnc2ccccc21)Nc1ccccc1OC(F)F, fitness:0.751380998019
CC(C)Oc1cc(C#N)cc(OCc2cn(C(F)F)cn2)c1, fitness:0.374284977532
CC(C)(C)OC(=O)N1CCN(CCC(=O)c2ccc(F)cc2)CC1, fitness:0.0499339941186
COc1cccc(OCC(=O)N(C)C)c1NC(=O)C1=CCCC1, fitness:0.812752829842
CC(=O)Nc1cccc(CNc2nccc(C(F)(F)F)n2)c1, fitness:1.72292929771
CCN(Cc1cccc(C)c1)C(=O)COc1ccccc1C#N, fitness:1.06717189999
CC(C)c1ncc(CNC(=O)Cc2ccc[nH]2)s1, fitness:0.363379782805
CCS(=O)(=O)Nc1ccc(C(=O)Nc2nccs2)cc1, fitness:0.121288276764
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2ccccc2C)cc1, fitness:0.0324036021424
CC(=O)c1ccccc1NCCC(=O)c1ccccc1C, fitness:0.002266221073
CC1CN(C(=O)c2cccc3c2OCCO3)c2c[nH]cc2N1, fitness:0.0582321951642
Cc1c(NC(=O)CC2C=CCC2)cccc1C(=O)N(C)C, fitness:0.552340407496
COc1cc(NC(=O)N2CCC(CO)CC2)cc(OC)c1, fitness:0.0248679459212
COc1cccc(CN(C)C(=O)Nc2nnc(C)s2)c1, fitness:1.56711838792
Cc1nnsc1C(=O)Nc1ncccc1OCC(F)(F)F, fitness:1.10666371421
CC(C)(CNC(=O)Cc1cccc(OCC#N)c1)c1ccncc1, fitness:0.00983990774823
CNC(=O)c1ccccc1CN(C)Cc1cccs1, fitness:0.0339324035109
O=C(Cn1c(=O)oc2ccccc21)Nc1n[nH]cc1C1CCCCC1, fitness:0.736957838913
COc1cc(OC)c(OC)c(C(=O)Nc2cccc(C(C)=O)c2)c1, fitness:0.118295926556
CC(=O)Nc1ccccc1C(=O)NCc1n[nH]c(C)c1N, fitness:0.385713172758
N#Cc1cccc(OCC(=O)NCc2ccncc2)c1, fitness:0.289905686526
CCCN(CC(=O)Nc1cccc(C)c1)S(=O)(=O)c1cnn(C)c1, fitness:0.0148673759397
O=C(CN1CCN(c2ccc(Cl)cc2)C1=O)Nc1ccccn1, fitness:1.11490625671
Cc1cc(C(=O)NCc2ccccn2)c(C)n1Cc1ccccc1, fitness:0.9191571163
CC(C)(C)n1ccc(C(=O)NCc2ccc(OCC#N)cc2)n1, fitness:0.865985273804
CC(C)Oc1ccc(C(=O)NCc2[nH]ncc2N)cc1, fitness:0.204057644551
CC(C)Oc1ccc(CC(=O)NCc2ccc[nH]2)cc1, fitness:0.0633380411562
CC(C)OC(C)(C)NS(=O)(=O)c1cccc2c1C(=O)CN2, fitness:0.159430600632
COc1ccccc1C(=O)Nc1cnc(N2CCCCC2)nc1, fitness:0.267455469571
CC(C)n1nnnc1-c1cccc(NC(=O)NCCc2cccnc2)c1, fitness:1.19330636675
Cc1cc(OCC(=O)N2CCN(CC(C)O)CC2)ccc1Cl, fitness:0.924307583619
CCN(CC(=O)NC1CC1)C(=O)c1ccc(Br)cc1, fitness:0.0170810983554
Cc1cccc(C(=O)NCc2ocnc2-c2ccccc2)c1, fitness:0.463946973752
COC(=O)c1ccccc1NCc1nc2ccccc2[nH]1, fitness:0.183137384177
CC(c1ccc(Cl)cc1)N1C(=O)COc2cccnc21, fitness:0.130018885878
CC(NC(=O)c1cccc(-n2ccnn2)c1)c1ccncc1, fitness:0.60633054206
CCOC(=O)c1ccccc1N1CCN(C(=O)c2ccccc2F)CC1, fitness:0.0880829448063
CC(C)n1c(C(=O)NC2CCCC2)cc2ccccc21, fitness:0.0519144295193
Cc1nccc(C(=O)NCCCOc2ccccc2Cl)n1, fitness:1.74590570158
Cc1c(C(C)(C)C)nc(C(=O)NCc2ccoc2)[nH]c1=O, fitness:0.856147554974
CC(=O)Nc1ccc(C2Nc3ccccc3C(=O)N2CC#N)cc1, fitness:0.779611776756
CC(C)NC(=O)C1NCC(=O)C1(N)Cc1ccccc1, fitness:0.124939150147
CCOc1ccccc1NC(=O)Cn1c(=O)[nH]c2ccccc21, fitness:0.637725136711
CCN(Cc1cccc(NC(=O)c2ccco2)c1)C(C)=O, fitness:0.443248056874
Cc1ccc(O)c(C(=O)N(CCC#N)Cc2cccnc2)c1, fitness:1.28574359467
CCC(C)NS(=O)(=O)c1ccc(Cn2cc(C)cn2)cc1, fitness:0.130285407543
N#Cc1ccccc1OCC(=O)NCC1CC1, fitness:0.0289559583116
CC(OCC1CCCO1)C(=O)Nc1cccc(-c2nnnn2C)c1, fitness:1.07785457941
CCN(CC)C(=O)c1cccc(NC(=O)Cc2cc(C)on2)c1, fitness:1.22880212855
CC(=O)NCc1ccc(C(=O)Nc2ccc(O)c(C)c2)cc1, fitness:0.0653782827202
Cc1cc(NC(=O)c2ccsc2)cc(NC(=O)c2ccccn2)c1, fitness:0.257655084867
Cc1ccc(NC(=O)CSc2ccc(F)cc2)cc1-n1cnnn1, fitness:1.54395671606
CC(CNS(=O)(=O)c1ccccc1C#N)N1CCOCC1, fitness:0.361087936253
Cc1nccc(CNC(=O)c2ccc(N(C)C)nc2)n1, fitness:0.211352615705
CC(=O)Nc1cc(C)ccc1C(=O)NCc1csc(C)n1, fitness:0.468292026975
Cc1ccc(-n2cc(C(=O)NCc3cccnc3)nn2)cc1C, fitness:1.57256415927
Cc1cscc1CN(C(=O)NCc1cccnc1)C(C)C, fitness:1.1543267142
CC(C)c1cc(CNC(=O)N2CCCCC2C)on1, fitness:0.933365901866
CCOC(=O)c1cc(C2CC2)n(Cc2ccc(OC)cc2)n1, fitness:1.07780674034
COc1cc(NC(=O)c2ccc3nncn3c2)cc(OC)c1, fitness:0.14395451972
COc1cc(OC)cc(C(=O)NC(C)C(=O)NC2CCCC2)c1, fitness:0.0149132478636
CC(Cn1nnc2ccccc21)NC(=O)C1C=CCCC1, fitness:0.892726122721
Cc1onc(C2CN(C(=O)c3ccc(F)cc3)CCO2)c1C, fitness:0.740074333338
CC(C)(CNC(=O)c1[nH]c(=O)cc2c1C(=O)CC=C2)c1ccccc1, fitness:0.615012620942
O=C(NCc1ccccc1F)c1ccc(-n2cncn2)c(F)c1, fitness:1.02297944244
CC(C)N(Cc1ccccc1C#N)C(=O)c1cccc2[nH]nnc12, fitness:0.72128521183
N#Cc1ccccc1CNC(=O)c1nocc1-c1ccccc1, fitness:0.263758828456
Cc1ccc(C(N)=O)c(NC(=O)C(C)c2cncs2)c1, fitness:0.345355730773
CC(Cn1cncn1)NC(=O)c1n[nH]c2ccccc12, fitness:1.10439592113
CCN(Cc1ccc(C#N)cc1)C(=O)COc1ccccc1C#N, fitness:0.240192749454
COc1cc(OC)cc(C(C)NC(=O)CC2Cc3ccccc3N2)c1, fitness:0.534600013645
CC(C)N(CC1COc2ccccc2O1)C(=O)c1ccc(Cl)cc1, fitness:0.346024551446
CC(=O)NC1CCCC12COCCN(C(=O)c1cccs1)C2, fitness:-1.66302513877
Cc1occc1C(=O)Nc1ccc2c(c1)ncn2CCO, fitness:1.76331327038
Cc1nnc(SCC(N)=O)n1-c1ccccc1C(F)(F)F, fitness:0.226314508127
Cc1csc(CNC(=O)N(C)CC(C)CO)c1, fitness:0.00749038075853
O=C(COc1cccc(Cl)c1)Nc1ccn(Cc2cccnc2)n1, fitness:1.337814737
Cc1cc(NC(=O)COc2ccccc2C(=O)NC2CCCC2)on1, fitness:1.05315384646
Cc1cccc(NC(=O)CSc2ncn[nH]2)c1C, fitness:0.214282274119
CC(=O)Nc1cccc(C(=O)Nc2cccc3cccnc23)c1, fitness:0.123379834424
CCOc1cccc(CN2CCN(C(=O)c3ccsc3)CC2)c1, fitness:0.975486069276
CS(=O)(=O)N1CCNCC1(N)c1cccc(C(F)(F)F)c1, fitness:0.263140701202
CC(C)OC(=O)c1ccc(NCc2ccsc2)cn1, fitness:0.473213384724
CN(CCc1ccccn1)C(=O)c1ccc(-n2cnnn2)cc1, fitness:1.21563631324
O=C(Cn1c(CO)nc2ccccc21)Nc1ccccc1F, fitness:0.287688693893
Cc1csc2c(=O)n(CC(=O)NC3CCCC(C)C3)cnc12, fitness:0.957886703205
CN(Cc1cccc(F)c1)C(=O)c1ccccc1N1CCC(=O)C1, fitness:1.0523849819
N#Cc1ccc(NCc2nnc(-c3ccsc3)o2)cc1, fitness:0.119894482317
CC(C)C(=O)NCCNC(=O)c1ccc(Cl)cc1, fitness:4.54272946258e-05
Cc1cnc(CC(=O)NC2Cc3ccccc3C2)s1, fitness:0.0498474088388
C=CCN(C(=O)c1cccc(Cn2ccnc2)c1)C1CCCC1, fitness:1.05981645973
CC(C#N)N(C)C(=O)C(S)[SH]1C=Nc2ccccc21, fitness:0.111349898462
COc1cccc(C(=O)NCc2nc(-c3ccccc3F)no2)c1, fitness:1.28429782826
CC(C)Oc1ccccc1CNC(=O)c1cccc(C#N)c1, fitness:0.644983237818
COc1cccc(-c2noc(C3COc4ccccc4O3)n2)c1, fitness:0.805086788341
CC1COCCN1C(=O)c1cnn(-c2ccc(Cl)cc2)n1, fitness:0.839452047268
Cc1cc(OCC(=O)Nc2ccc(C#N)cc2)ccc1-n1cnnn1, fitness:1.34331087247
CC(C)c1ccc(C(=O)NCc2cnn(-c3ccccc3)c2)cn1, fitness:1.0101616431
Cc1cc(C)cc(C(=O)NCC(=O)N2CCc3ccccc32)c1, fitness:0.148194347715
Cc1cccc(-c2nc(C(C)NC(=O)c3ccoc3)no2)c1, fitness:1.01420668472
N#CC1(C(=O)NCc2cccc(-n3ccnc3)c2)CCCC1, fitness:1.02428061874
CN(Cc1cccs1)C(=O)c1cccc(-c2nnnn2C)c1, fitness:1.42900917997
Cc1csc(NC(=O)c2ccc(C)c(C)c2)n1, fitness:0.00707555442096
Cc1coc(CNC(=O)c2c(C)cccc2-n2cccc2)n1, fitness:0.645236268332
CCOC(=O)c1ccc(NCc2ncc3ccc(C)cn23)cc1, fitness:1.31090619037
Cc1ccc(OCC(=O)NC(C)c2ccncc2)cc1, fitness:0.0185222369813
CC(C)Oc1cccc(N)c1C(=O)N1CCCCCC1, fitness:-0.0162202856074
CN(Cc1ccc2c(c1)OCCO2)C(=O)c1ccco1, fitness:0.0913805176882
CC(C)N1CC(C(=O)Nc2cccc(F)c2C#N)CC1=O, fitness:0.731698308342
COc1ccc(C(NC(=O)c2c(N)n[nH]c2C)c2ccncc2)cc1, fitness:0.724977669947
CCC(C(=O)Nc1cccc(F)c1C)n1nnc(-c2ccccc2)n1, fitness:0.896535625097
Cc1ccc(C(=O)NC(C)c2nc3ccccc3[nH]2)s1, fitness:0.247993638091
O=C(CC1C=CCC1)N1CCCN(C(=O)c2ccccn2)CC1, fitness:-1.37424527942
Cc1scnc1CN1CCNCCC1(N)C(F)(F)F, fitness:-0.671582792724
Cc1ccc(C(=O)N(C)Cc2cc(=O)[nH]c3ccccc23)cc1, fitness:0.164984825809
Cc1cccc(-n2nnnc2SCCCn2cccn2)c1, fitness:1.23914965789
COCC(C)NC(=O)Cn1c(=O)c(C)nc2ccccc21, fitness:1.25656906945
COc1cccc(C(C#N)NC(=O)Cc2cccs2)c1, fitness:0.854965103293
O=C(NCc1ccccc1F)c1ccccc1-n1cnnn1, fitness:0.216151363731
Cc1cnoc1NC(=O)C1C(=O)CCN1c1ccccc1C(F)(F)F, fitness:0.672035594626
CN(Cc1cccnc1)C(=O)C1CC(=O)N(Cc2ccccc2)C1, fitness:0.990634151146
O=C(NCc1nc(-c2ccccc2)nn1-c1ccccc1Cl)C(O)O, fitness:0.840941837816
Cc1noc(CNC(=O)Cc2ccc(Cl)cc2)n1, fitness:0.0397360088932
Cc1cnoc1C1CCN(C(=O)Cn2ncccc2=O)C1, fitness:0.971455955355
CC(C)CNC(=O)c1cncc(OCC(F)F)c1, fitness:0.00468587442453
COc1cc(OC)cc(C(=O)N2CCOC(C)C2C)c1, fitness:0.0051188075194
O=C(NCC1CCCO1)c1cccc(NC(=O)c2cccs2)c1, fitness:0.849288901444
COc1cc(OC(F)F)cc(C(=O)NCC(C)C)c1, fitness:0.00082276994066
CCN(Cc1cccc(F)c1)C(=O)CCn1cc(C)cn1, fitness:1.29076551048
N#Cc1ccccc1CNC(=O)NCc1ccccc1C#N, fitness:3.93093815636e-05
CC(=O)Nc1c(O)cccc1C(=O)Nc1cncs1, fitness:0.0677946427878
Cc1ccc2cc(C(=O)N3CCCC3Cn3cccn3)cnc2c1, fitness:1.22079858074
CCOc1ccc(CC(=O)N2CCCC2c2nc(C)no2)cc1, fitness:0.92413683496
Cn1c(C(=O)NCc2ccccc2)nc2ccc(C#N)cc21, fitness:1.50047413096
COc1ccccc1CN(CC(=O)N(C)C)Cc1ccnn1C, fitness:0.011749091326
Cc1cc(Br)cc(OCC(=O)N2CCC(C)(C)C2)c1, fitness:0.118729295308
CCC(=O)Nc1ccc(S(=O)(=O)NCC(C)C)cc1, fitness:0.000459958049899
COc1ccc(C(=O)Nc2ccc3cccnc3c2)c(F)c1, fitness:1.95349296539
CCn1nc(C)cc1C(=O)NCc1cccc(Cl)c1, fitness:0.378045213308
CN(Cc1cccs1)C(=O)c1ccc(N2CCCC2=O)cc1, fitness:1.00707035719
Cc1ccccc1-c1nc2ccsc2c(=O)n1C(C)O, fitness:0.141037767226
CCN(Cc1cccc(F)c1)C(=O)Nc1nnc(C(F)F)s1, fitness:0.981145852861
Cc1cc(C(=O)NCc2cc(C3CC3)n(C)n2)c(C)s1, fitness:0.767875831883
CN(Cc1ccc(Cl)cc1)C(=O)Cn1ccc(=O)[nH]c1=O, fitness:0.0767727598921
COc1cccc(NC(C)=O)c1NC(=O)Cc1cccc2c1OCO2, fitness:0.67762907481
COC(=O)c1ccc(-n2c(CO)nc3ccncc32)cc1, fitness:0.446742876495
CC(C)NC(=O)C1CCN(c2cc(Cc3ccccc3)ncn2)CC1, fitness:1.0678376768
Cc1coc(CNC(=O)c2ccccc2Cn2ncc(C)c2C)n1, fitness:1.09009596102
CC(=O)c1ccccc1NC(=O)COc1ccncc1C, fitness:0.317294625027
COc1cc(CNC(=O)c2c(N)cc[nH]c2=O)cc(OC)c1, fitness:0.102462083144
Cc1cccc(C)c1NC(=O)CNC(=O)Cc1c[nH]c2ccccc12, fitness:0.227473294272
CCS(=O)(=O)c1ccc(CNC(=O)Cc2cccnc2)cc1, fitness:0.157532160761
CC1CN(C(=O)Cc2ccc(-n3cccn3)cc2)CC(C)O1, fitness:0.146245953388
Cc1cccc(O)c1NC(=O)Cc1ccccc1F, fitness:0.0219262248994
CC(C)CN(CC(N)=O)C(=O)Cc1cccs1, fitness:0.00160823143922
CN(Cc1ccc(Cl)cc1)C(=O)c1cc(-c2cccs2)n(C)n1, fitness:1.39108232167
CC(C)Oc1cccc(CNC(=O)c2[nH]c(=O)ccc2Cl)c1, fitness:0.924961932919
Cc1cc(F)ccc1C(=O)NCc1ccnn1C, fitness:0.154055935356
Cc1scnc1CN1CCNCC1(N)c1cccc(-n2cccn2)c1, fitness:0.780966758053
CC(C)NC(=O)CSc1cncc(C#N)c1, fitness:0.0031407487902
CC(C)S(=O)(=O)NCc1ccccc1C(F)(F)F, fitness:0.000122415435332
CCC(CC)n1ncc2nccc(C(=O)NC3CCCC3)c21, fitness:1.1942126425
CC(=O)N1CCN(Cc2cnc(-c3cccs3)s2)CC1, fitness:0.378284708656
CC(=O)Nc1ccc(C(=O)N(C(C)O)C2CCCCC2)cc1, fitness:0.0344366067912
COC(=O)c1ccc(CN(Cc2ccccn2)C2CC2)cc1, fitness:0.407379338836
Cc1ccc(OCCNC(=O)C2CC(=O)N(C)C2)cc1, fitness:0.229266396603
COc1ccccc1C(C)NC(=O)c1c(OC)cccc1OC, fitness:0.000685436369683
Cc1ccc(CNC(=O)c2cc(=O)[nH]c3cc(F)ccc23)cc1, fitness:0.475461815809
Cc1csc(C(=O)NCc2ccc(Cn3cccn3)cc2)c1C, fitness:1.10005953116
COc1ncccc1C(=O)NCC(C)Cn1cccn1, fitness:1.15446096632
COC(=O)C1CCN(C(=O)c2cccc(SC)c2)C1, fitness:0.208927122427
Cc1ccc(S(=O)(=O)NCC(O)c2ccsc2)cc1C, fitness:0.0897464408074
CC(NC(=O)c1cccc(-n2cnnn2)c1)c1cccs1, fitness:1.04597900975
CC1=c2c(nc(CNc3ccccc3C#N)[nH]c2=O)=CNC1, fitness:0.859427417082
COc1ccc(Cl)cc1NC(=O)CCc1ccc(C)o1, fitness:0.463787950816
Cc1nc(NC(C)C(C)C)nc2cnn(-c3cccc(F)c3)c12, fitness:0.960288370817
Cc1ccccc1NC(=O)CSc1nncn1-c1ccccc1, fitness:0.500504439356
Cc1cccc(NC(=O)CSc2nnc(C3CC3)n2C)c1, fitness:1.74043857875
CC(=O)NCc1ccc(CNC(=O)Nc2c(C)cccc2C)cc1, fitness:0.000944117167669
