Cc1nc(CNC(=O)c2c(C)oc(C)c2C)no1, fitness:0.325430032543
CC(C)Cn1cc(NC(=O)CCSc2ccccn2)cn1, fitness:0.367033700367
COc1cccc(C(=O)NC(C#N)c2cccnc2)c1F, fitness:0.285714285714
CC(Sc1nnnn1C)C(=O)NC(C)c1ccccc1, fitness:0.392464678179
Cc1oc2ccc(O)cc2c1C(=O)Nc1cnn(C2CCCC2)c1, fitness:0.369685767098
Cc1cc(NC(=O)c2ccnc(C)c2)cc(S(C)(=O)=O)c1, fitness:0.54684651841
CC(C#N)N(Cc1ccccn1)C(=O)c1ccccc1OC(F)F, fitness:0.310451879959
COc1cc(CNC(=O)Nc2ccc(F)cc2)cc(OC)c1, fitness:0.391474554154
CC1CCCCC1NC(=O)Cn1c(=O)n(C(C)C)c2ccccc21, fitness:0.264051301396
COc1ccc(CNS(=O)(=O)c2ccccc2C#N)cc1, fitness:0.375156315131
O=C(CCNS(=O)(=O)c1ccc(F)cc1)NC1CCCC1, fitness:0.304215558453
CC(C)c1ccc(C(=O)Nc2ccccc2F)c(N)n1, fitness:0.367496937526
Cc1cc(NC(=O)c2cccs2)cc(C(=O)N2CCOCC2)c1, fitness:0.351123595506
N#Cc1cccc(OCCn2c(=O)oc3ccccc32)c1, fitness:0.239808153477
Cc1ccc(C(=O)Nc2nc3c(s2)NC(N)C=C3)cc1, fitness:0.370644922165
Cc1cc(C)n2ncc(C(=O)NCCc3ccc(F)cc3)c2n1, fitness:0.379703141181
COC(=O)C1CCCCC(NC(=O)Cn2ccc(C)n2)C1, fitness:0.351123595506
COC(=O)c1c(NCc2cccc(F)c2)cnc2cc(C)cnc12, fitness:0.355182434614
Cc1cc(NC(=O)c2ccc[nH]2)ccc1-n1cnnn1, fitness:0.44142614601
COc1cc(OC)cc(C(=O)Nc2ccc(F)c(C#N)c2)c1, fitness:0.367496937526
COc1cccc(CN(C)C(=O)C2CC(=O)N(C)C2)c1OC, fitness:0.32154340836
Cc1ccncc1CN1CCCC(=O)C12CCCN2c1cncnc1, fitness:0.333555703803
Cc1ccccc1OCC(=O)Nc1ccc(-n2ccnc2)nc1, fitness:0.438321853475
Cc1cc(CNC(=O)c2ccc(OC(F)F)cc2)[nH]c1N, fitness:0.370644922165
CN(C)c1cc(C(=O)Nc2ccc(C#N)cc2)ccn1, fitness:0.573065902579
COc1ccccc1C(C#N)NCC(=O)NCc1ccccc1, fitness:0.239808153477
Cc1cc(F)ccc1NC(=O)N(C)Cc1ccccc1C#N, fitness:0.386371619248
CCNC(=O)C1CCN(Cc2cccc3c2OCCO3)CC1, fitness:0.264051301396
CCN1C(=O)COc2ccc(C(=O)NCc3cccc(Cl)c3)cc21, fitness:0.266666666667
CN(Cc1ccccc1F)C(=O)c1cc(-c2ccccc2Cl)[nH]n1, fitness:0.32154340836
CCn1nc(C)cc1C(=O)NCc1cccc2ccccc12, fitness:0.429184549356
COC(=O)CNC(=O)C1c2c(C)cncc2SC1N, fitness:0.339750849377
Cc1conc1CNC(=O)c1ccccc1Cl, fitness:0.375156315131
O=C(NCCc1cccnc1)c1cccc(NC(=O)C2CC2)c1, fitness:0.3159003159
Cc1ccc(NC(=O)c2cc(-c3cccs3)ccn2)c(C)c1, fitness:0.449050086356
Cc1ccccc1CN(C)C(=O)CN(C)S(=O)(=O)c1ccccc1, fitness:0.44953003678
CN(CC(=O)NC1CC1)C(=O)c1coc(-c2ccccc2)c1, fitness:0.333456835865
CCN(Cc1ccccc1)C(=O)NCc1ncccc1OC, fitness:0.363901018923
CCn1ccc(C(=O)N2CCN(CC(C)C#N)CC2)n1, fitness:0.307692307692
COc1ccccc1C(=O)N1CCC(c2noc(C3CC3)n2)C1, fitness:0.280701754386
CC(C)COC(=O)C1CCN(C(=O)c2ccc(Cl)cc2)CC1, fitness:0.255102040816
CCN(Cc1nc2ccccc2[nH]1)C(=O)COc1ccccc1, fitness:0.339750849377
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(C#N)cc2)cc1, fitness:0.444839857651
CCOC(=O)c1c(C)[nH]c(C(=O)NCc2ccccc2)c1C, fitness:0.285597715218
CCN(CCO)C(=O)c1cccc(NC(=O)Cc2cccs2)c1, fitness:0.310451879959
CCN(CC(=O)Nc1ccccc1OC)C(=O)c1ccccc1C, fitness:0.346287033474
COc1ccc(CN(C)C(=O)c2cc(F)ccc2F)cc1O, fitness:0.307692307692
NC(=O)COc1ccc(C(=O)Nc2cnc(C3CC3)s2)cc1, fitness:0.296296296296
Cc1cocc1CNS(=O)(=O)c1ccn(Cc2ccccc2)n1, fitness:0.44142614601
CCOC(=O)CN(CC)C(=O)c1ncc2cccc(C)n12, fitness:0.363901018923
CC(=O)Nc1cc(C(=O)N2CC=C(c3cccs3)CC2)ccc1F, fitness:0.266666666667
CN(C)c1cccc(C(=O)N2CCNCC2(N)c2ccsc2)c1, fitness:0.349539243724
Cc1onc(C(C)C(=O)Nc2ccc(F)c(Br)c2)c1C, fitness:0.400436840189
CN(Cc1ccsc1)C(=O)c1ccccc1Br, fitness:0.318037255793
C=Cc1ccc(C(=O)Nc2cc(-c3ccccc3C)no2)cc1, fitness:0.363901018923
CC(C)n1cc(C(=O)Nc2ccc(Cl)cc2F)cn1, fitness:0.346287033474
CN(C)c1cc(C(=O)NCc2ccc(-n3ccnc3)cc2)ccn1, fitness:0.477251034044
Cc1ccc(C(=O)NCC(=O)N2CCC(C)CC2)cc1F, fitness:0.407860585836
COc1cc(OC)cc(-c2c(-c3ccccc3O)nc[nH]c2=O)c1, fitness:0.32
Cc1ccc(S(N)(=O)=O)cc1C(=O)N(C)Cc1ccco1, fitness:0.534759358289
Cc1c(C(=O)NC(C)c2ccccc2)sc2c(=O)[nH]cnc12, fitness:0.327391778829
COC(=O)c1cc(-c2ccccc2OC)nn1CCO, fitness:0.346287033474
CCOC(=O)c1nc(NCc2cccc(C#N)c2)cs1, fitness:0.310451879959
CCOc1cccc(-c2c(C#N)cnn(CC)c2=O)c1, fitness:0.301886792453
COc1cccc(OC)c1C(=O)NC(C)c1ccccc1C, fitness:0.363636363636
Cc1ccc(CNS(=O)(=O)c2cccc3c2OCCOC3)nc1, fitness:0.393959290873
Cc1[nH]nc(N)c1C(=O)NC(C)S(=O)(=O)NC(C)C, fitness:0.383141762452
Cn1c(=O)c2ccc(C(=O)N3CCCCC3)nc2n(C)c1=O, fitness:0.440528634361
Cc1ccccc1NC(=O)Cn1c(=O)cc(Br)[nH]c1=O, fitness:0.384911470362
Cc1cocc1CN1CCOCC1(C)NC(=O)c1ccc(O)cc1, fitness:0.300100033344
COc1cccc(O)c1CNC(=O)N1CCOC(C2CC2)C1, fitness:0.237207726195
Nc1c(C(=O)NCc2ccc(F)cc2)nnn1Cc1ccccc1, fitness:0.307692307692
Cc1csc(C(=O)Nc2cccc3[nH]c(=O)cc(C)c23)n1, fitness:0.386371619248
Cc1c(C(=O)NC(C)n2ncccc2=O)ncnc1-c1ccccc1, fitness:0.373260943332
Cc1cocc1C(=O)N1CCCC1Oc1ccc(Cl)cc1, fitness:0.301886792453
Cc1ccccc1OCCN1CCN(C(=O)c2ccccc2O)CC1, fitness:0.307692307692
COc1ccccc1CC(=O)NC1CCC(C)CC1, fitness:0.272479564033
Cc1cc(CNC(=O)Nc2ccc(C#N)cc2)c(C)o1, fitness:0.392464678179
CCN(CC)C(=O)c1ccccc1CNc1ncnc2ccsc12, fitness:0.345065562457
CN(Cc1ccccc1)C(=O)c1cc(Cl)nc(Cl)c1, fitness:0.454959053685
Cc1nc(COc2ccccc2C(=O)NCCc2ccccc2)no1, fitness:0.3159003159
Cc1cscc1C(=O)N(CC1CCOC1)c1ccccc1, fitness:0.327391778829
CC(C)COc1cc(F)cc(C(=O)NCc2ccccn2)c1, fitness:0.345065562457
CCOC(=O)CN(CC)C(=O)c1ccc2c(c1)OCO2, fitness:0.291545189504
CC(=O)N1CCC(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)C1, fitness:0.387596899225
Cc1cccc(O)c1C(=O)NCC1(c2ccccc2F)CC1, fitness:0.307692307692
N#Cc1cc(SCC(=O)Nc2cccc(F)c2Cl)ccn1, fitness:0.33921302578
COCc1cc(N2CCCC(O)(Cn3ccccc3=O)C2)ncn1, fitness:0.281337918099
Cc1ccncc1C(=O)NC1CCCCN1c1cncnc1, fitness:0.386371619248
COc1ccc(NC(=O)Cc2noc(C)c2C)cc1, fitness:0.408496732026
CCN(Cc1ccccc1)C(=O)c1ccc(OC)c(OC)c1, fitness:0.310972900933
Cc1coc(C(=O)N2CCC(C(=O)NC3CCCCC3)C2)c1C, fitness:0.301886792453
NC(=O)C1CCCCC(NC(=O)c2ccncc2N2CCCC2)C1, fitness:0.32154340836
COc1ccc(OC)c(NC(=O)C2CC2c2ccccc2)c1, fitness:0.285597715218
CC(NC(=O)c1ccoc1)C(=O)Nc1cc(F)cc(F)c1, fitness:0.333333333333
Cc1cccc(C)c1NC(=O)c1ncc2ncc(C)c(C)n12, fitness:0.480769230769
CC(NC(=O)c1ccoc1)c1ccccc1OCC1CCCO1, fitness:0.20325203252
CC(=O)Nc1ccccc1C(=O)Nc1cn(-c2ccccc2)nc1C, fitness:0.392464678179
Cn1c(SCC(=O)Nc2cccc(Cl)c2)nnc1C1CC1, fitness:0.367033700367
Cc1c(C(=O)NCc2cc(OC3CCC3)ccn2)[nH]c2ccccc12, fitness:0.382916053019
CCOc1ccccc1CNC(=O)N1CCN(C(=O)c2ccco2)CC1, fitness:0.254452926209
CC(=O)Nc1ccccc1-c1scnc1CN1CCOCC1, fitness:0.3159003159
CCN(Cc1ccccc1)C(=O)Cn1cc(C)sc1=O, fitness:0.326530612245
CC(C)C(C)N1CCN(C(=O)NCC(C)(C)c2ccncc2)CC1, fitness:0.346287033474
O=C(NCC1(c2ccccc2)CCC1)c1ccc2nnnn2c1, fitness:0.259163272862
Cc1nnc(C#N)c(C)c1N1CCCCC1C(=O)Nc1ccccc1F, fitness:0.281337918099
N#Cc1ccccc1C(=O)NCc1cc2ccccc2[nH]1, fitness:0.255102040816
CN(C)c1cnccc1C(=O)Nc1ccccc1C(=O)N1CCCC1, fitness:0.386371619248
COc1cccc(NC(=O)c2c(C)cc[nH]c2=O)c1OC, fitness:0.32
Cn1cc(C(=O)N2CCC(Oc3ccccc3Cl)C2)c(=O)[nH]c1=O, fitness:0.241296104791
Cc1ccc(C(=O)N2CCCC2COc2ccccc2)cn1, fitness:0.32154340836
Cc1cncc(C(=O)Nc2cccc(-n3ccnc3)c2Cl)c1, fitness:0.373260943332
CCN1CCN(C(=O)COCc2nc(C)no2)CC1, fitness:0.291545189504
Cc1ccc(C(=O)NCC(O)c2cccc(C(F)(F)F)c2)s1, fitness:0.296296296296
Cc1ccc(CNS(=O)(=O)c2ccc(C#N)cc2)cc1, fitness:0.418799441601
C=C(C)n1nnnc1SCC(=O)Nc1cccc(C)c1F, fitness:0.33921302578
CCN(C(=O)Cn1cnc(=O)c2c(C)cccc21)C1CC1, fitness:0.379703141181
Cc1ccc(CN(C)C(=O)CCOc2cccc(F)c2)o1, fitness:0.327391778829
CC(C)(O)CN1CCN(C(=O)Cc2ccsc2)CC1, fitness:0.260642919201
CNC(=O)c1ccc(CNC(=O)c2cn3cc(C)ccc3n2)cc1, fitness:0.370644922165
COC(=O)c1cccc(F)c1NC(=O)c1cnns1, fitness:0.279888044782
CC(=O)Nc1ccccc1C(=O)NCc1noc(C(C)C)n1, fitness:0.301886792453
COc1cccc(OC)c1C(=O)NCc1ccccc1C#N, fitness:0.266429840142
COc1cccc(OC)c1CNC(=O)c1ccccn1, fitness:0.391474554154
CC(=O)NCC(=O)NCc1ccc(Oc2cccc(F)c2)nc1, fitness:0.3159003159
O=C1CCCN1CCC(=O)N1CCc2cc(Br)ccc21, fitness:0.244698205546
COc1cccc(C(=O)Nc2nc(C3CC3)cs2)c1OC, fitness:0.296296296296
CC1CC1C(=O)NCCN1CCN(C(=O)c2ccc(O)cc2)CC1, fitness:0.274402195218
Cc1cscc1CNC(=O)C(C)Oc1ccccc1C, fitness:0.326530612245
CCc1ccccc1NC(=O)C(C)c1n[nH]cc1N, fitness:0.313725490196
C=C(C)N(C(=C)C)S(=O)(=O)c1cccc2c1CCCC2, fitness:0.409276944065
Cc1cnoc1CNC(=O)c1cccc2c1CCN2, fitness:0.32154340836
CN(Cc1ccccc1Cl)C(=O)c1cscc1NC(=O)C1CC1, fitness:0.285714285714
CCC(C)NC(=O)c1c(Br)cccc1OC, fitness:0.278810408922
Cc1ccc(C(=O)Nc2nnc(C(C)C)s2)cc1NC(=O)c1ccco1, fitness:0.355182434614
N#Cc1ccc(N2CCC(C(=O)NCc3ccccc3F)CC2)nc1, fitness:0.266666666667
CCN(CC)C(=O)c1c(-c2ccccc2)cnn1-c1ccccc1, fitness:0.347826086957
Cc1cc(F)cc(C(=O)NCc2nccn2C(F)F)c1, fitness:0.400436840189
CCOC(=O)c1[nH]ncc1NC(=O)c1c(F)cccc1F, fitness:0.279888044782
CC1CN(C(=O)NCc2ccccc2Cn2cccn2)CC(C)O1, fitness:0.32154340836
Cc1nc2ccccc2nc1COC(=O)c1cnccn1, fitness:0.423565652676
CC(C)N(CCCO)C(=O)c1cc(F)ccc1Br, fitness:0.297745640153
COc1ccccc1NC(=O)CSc1nnc(C2CC2)n1C, fitness:0.310451879959
CC(C)NC(=O)Cn1cc(-c2nnco2)ccc1=O, fitness:0.307692307692
CC(C)Oc1ccccc1NCC(=O)N1CCOCC1, fitness:0.285597715218
CCN(CC(=O)NC(C)C)C(=O)c1ccccc1OC1CCCC1, fitness:0.259163272862
Cc1c(F)cccc1C(=O)NC(C)C1Cc2ccccc2N1, fitness:0.264051301396
CC1COCC(C)N1CC(=O)NCc1ccc(OC(F)F)cc1, fitness:0.269127258747
CN(Cc1cccc(F)c1)C(=O)c1cnc(C2CCCO2)s1, fitness:0.312695434647
CN(Cc1n[nH]cc1N)C(=O)Nc1ccc(OCC2CC2)cc1, fitness:0.381436745073
CC(C)n1nccc1CNC(=O)c1sccc1-c1ccccc1, fitness:0.32154340836
CC(=O)Nc1ccccc1CNC(=O)C1Cc2ccccc2N1, fitness:0.239808153477
CC1CCC(N(C)C(=O)Cc2ccc(-n3cnnn3)cc2)CC1, fitness:0.333456835865
Cc1cccc(NC(=O)CSc2nnc(C3CC3)n2N)c1, fitness:0.393959290873
Cc1scnc1CNC(=O)c1cccc(OCC2CCOC2)c1, fitness:0.298685782557
O=C(Cc1ccc(Cl)cc1)Nc1cc(-n2ccnc2)ccn1, fitness:0.393278512692
CC(C)c1nc(CN2CCN(C(=O)c3cccc(F)c3)CC2)no1, fitness:0.30518819939
Cc1nc(C2CCCN2C(=O)C(C)OCC2CC2)no1, fitness:0.259163272862
CCOC(=O)c1cc(CC)sc1NC(=O)c1ccc(F)cc1, fitness:0.279888044782
CC(=O)Nc1ccc(CN2CCN(C(=O)c3ccc(C)cc3)CC2)cc1, fitness:0.392464678179
CS(=O)(=O)N1CCCC(C(=O)NCc2ccc(F)cc2)C1, fitness:0.339750849377
Cc1ccc(S(=O)(=O)NC(C#N)c2ccc(F)cc2)cc1, fitness:0.400177856825
COc1ccccc1C1CC=CCN1C(=O)Cc1ccccc1C, fitness:0.296296296296
CN(CC(=O)Nc1ccc(Cl)cc1)C(=O)c1ccccn1, fitness:0.482374768089
CC(C)c1noc(CN(C)C(=O)Cc2ccccc2F)n1, fitness:0.333456835865
CCN(CC)C(=O)c1ccccc1NC(=O)Cn1cncn1, fitness:0.339750849377
Cc1ccc(C(=O)Nc2ccc(OCC(F)(F)F)nc2)s1, fitness:0.393278512692
COC(=O)CN(C(=O)c1ccc(Cl)cc1C)C(C)C, fitness:0.375156315131
CC(O)(CNC(=O)c1ccccc1N1CNCC1=O)c1cccs1, fitness:0.233255581473
O=C(NCc1ccccn1)C1CC12CCN(C(=O)c1ccc(F)cc1)C2, fitness:0.285805017466
N#CCOc1ccccc1CC(=O)Nc1ccc(C#N)cc1, fitness:0.291545189504
O=C(CN1CCCCC1=O)Nc1cccc(-c2ccn[nH]2)c1, fitness:0.333555703803
Cc1cscc1CNC(=O)C1C(=O)CCN1C1CCCC1, fitness:0.296296296296
Cc1cc(C(=O)NCc2ccnc(Oc3ccccc3)c2)c(C)o1, fitness:0.400534045394
CC(=O)Nc1ccccc1CC(=O)NC(C)(C)CO, fitness:0.278810408922
COc1ccc(C(=O)NC2CCN(C(=O)c3ccoc3)CC2)cc1, fitness:0.269127258747
CC(C)(C)n1nc(C(=O)NCCc2ccsc2)cc1C1CC1, fitness:0.333555703803
COc1ccc(NC(=O)Cn2c(CO)nc3ccccc32)cc1, fitness:0.414364640884
Cc1cscc1C(=O)NC(C)n1c(C)nc2ccccc21, fitness:0.429184549356
CN(Cc1cccs1)C(=O)CNc1cccc(Cl)c1, fitness:0.377643504532
Cc1cocc1C(=O)N1CCCC1Oc1ccccc1Cl, fitness:0.290909090909
CC(=O)Nc1ccc(C(=O)N(C)Cc2ccc(C)s2)cc1, fitness:0.440528634361
CC(C)(C)OC(=O)NCC(c1cccc(Cl)c1)N1CCOCC1, fitness:0.280701754386
Cc1cccc(NC(=O)C(C)c2ccnn2-c2ccccc2)c1C, fitness:0.400436840189
CCOC(=O)c1ccc(NCC(=O)Nc2ccc(C)cc2)cc1, fitness:0.391474554154
COC(=O)c1ccc(Cn2c(C(F)(F)F)nc3ccccc32)o1, fitness:0.32154340836
Cc1ccccc1NC(=O)CSc1nnc(C2CC2)n1C, fitness:0.386371619248
CC(C#N)NC(=O)CSc1ccc(Cl)cc1, fitness:0.285442435775
Cc1nc(NCC(=O)N2CCCC2)c(C)c(N2CCCCC2)n1, fitness:0.340425531915
CC(=O)NCC1CCN(C(=O)NC(C)c2cccc(C)c2)CC1, fitness:0.32154340836
Cc1occc1C(=O)NCC(C)OCC1CCCO1, fitness:0.254452926209
CC(C)n1c(C2C(=O)CCN2c2cccc(F)c2)nc2ccccc21, fitness:0.333555703803
O=C(Nc1cccc(Cn2cncn2)c1)c1ccc(C(F)(F)F)cc1, fitness:0.3159003159
O=C(CSc1cccc(F)c1)NCC(O)c1ccsc1, fitness:0.226244343891
CC(C)Oc1cc(CN(C)C(=O)c2cnccn2)ccn1, fitness:0.421644413212
Cc1ncoc1CNC(=O)NCC1CSc2ccccc21, fitness:0.310451879959
O=C(CSc1nncn1C1CC1)NCc1ccccc1, fitness:0.274402195218
CC(=O)N1CCCCC1c1cc(NCc2ccccn2)nc(C)n1, fitness:0.388639760837
Cc1ccc(C(=O)N(C)Cc2cc(OCC(F)(F)F)ccn2)cc1, fitness:0.44142614601
CCN(CC1CCCO1)C(=O)Nc1ccc2oc(C)nc2c1, fitness:0.418660287081
CN(Cc1ccccc1)C(=O)C1CCN1C(=O)c1ccccc1F, fitness:0.307692307692
Cc1cc(NC(=O)CC(C)C)cc(NC(=O)c2ccco2)c1, fitness:0.360144057623
O=C(NCc1ccccc1Cn1cccn1)N1CCCCC1O, fitness:0.280701754386
Cc1ccc(C(=O)N2CCC(CNc3ncc(F)cn3)CC2)o1, fitness:0.373260943332
COc1cc(F)cc(C(=O)NC23CC(C)(C)C2CCO3)c1, fitness:0.226244343891
CC(C)Cc1c[nH]c(=NC(=O)c2ccccc2-c2ncn[nH]2)s1, fitness:0.241296104791
Cc1cc(C)cc(NC(=O)CSc2cncnc2N)c1, fitness:0.423565652676
CC(=O)Nc1cccc(OCc2nnnn2-c2cccc(C)c2)c1, fitness:0.361010830325
O=C(Cn1cnc2ccccc21)Nc1ccccc1OC(F)F, fitness:0.333456835865
CC(C)Oc1cc(C#N)cc(OCc2cn(C(F)F)cn2)c1, fitness:0.269127258747
CC(C)(C)OC(=O)N1CCN(CCC(=O)c2ccc(F)cc2)CC1, fitness:0.255102040816
COc1cccc(OCC(=O)N(C)C)c1NC(=O)C1=CCCC1, fitness:0.290909090909
CC(=O)Nc1cccc(CNc2nccc(C(F)(F)F)n2)c1, fitness:0.492934604009
CCN(Cc1cccc(C)c1)C(=O)COc1ccccc1C#N, fitness:0.290909090909
CC(C)c1ncc(CNC(=O)Cc2ccc[nH]2)s1, fitness:0.307692307692
CCS(=O)(=O)Nc1ccc(C(=O)Nc2nccs2)cc1, fitness:0.482374768089
CCN(CC)S(=O)(=O)c1ccc(C(=O)Nc2ccccc2C)cc1, fitness:0.440528634361
CC(=O)c1ccccc1NCCC(=O)c1ccccc1C, fitness:0.380952380952
CC1CN(C(=O)c2cccc3c2OCCO3)c2c[nH]cc2N1, fitness:0.222057735011
Cc1c(NC(=O)CC2C=CCC2)cccc1C(=O)N(C)C, fitness:0.333456835865
COc1cc(NC(=O)N2CCC(CO)CC2)cc(OC)c1, fitness:0.340425531915
COc1cccc(CN(C)C(=O)Nc2nnc(C)s2)c1, fitness:0.386371619248
Cc1nnsc1C(=O)Nc1ncccc1OCC(F)(F)F, fitness:0.345065562457
CC(C)(CNC(=O)Cc1cccc(OCC#N)c1)c1ccncc1, fitness:0.30518819939
CNC(=O)c1ccccc1CN(C)Cc1cccs1, fitness:0.340425531915
O=C(Cn1c(=O)oc2ccccc21)Nc1n[nH]cc1C1CCCCC1, fitness:0.233255581473
COc1cc(OC)c(OC)c(C(=O)Nc2cccc(C(C)=O)c2)c1, fitness:0.32
CC(=O)Nc1ccccc1C(=O)NCc1n[nH]c(C)c1N, fitness:0.339750849377
N#Cc1cccc(OCC(=O)NCc2ccncc2)c1, fitness:0.313725490196
CCCN(CC(=O)Nc1cccc(C)c1)S(=O)(=O)c1cnn(C)c1, fitness:0.448698773557
O=C(CN1CCN(c2ccc(Cl)cc2)C1=O)Nc1ccccn1, fitness:0.327391778829
Cc1cc(C(=O)NCc2ccccn2)c(C)n1Cc1ccccc1, fitness:0.449050086356
CC(C)(C)n1ccc(C(=O)NCc2ccc(OCC#N)cc2)n1, fitness:0.32154340836
CC(C)Oc1ccc(C(=O)NCc2[nH]ncc2N)cc1, fitness:0.313725490196
CC(C)Oc1ccc(CC(=O)NCc2ccc[nH]2)cc1, fitness:0.255102040816
CC(C)OC(C)(C)NS(=O)(=O)c1cccc2c1C(=O)CN2, fitness:0.346287033474
COc1ccccc1C(=O)Nc1cnc(N2CCCCC2)nc1, fitness:0.377643504532
CC(C)n1nnnc1-c1cccc(NC(=O)NCCc2cccnc2)c1, fitness:0.328652524649
Cc1cc(OCC(=O)N2CCN(CC(C)O)CC2)ccc1Cl, fitness:0.327391778829
CCN(CC(=O)NC1CC1)C(=O)c1ccc(Br)cc1, fitness:0.310972900933
Cc1cccc(C(=O)NCc2ocnc2-c2ccccc2)c1, fitness:0.370644922165
COC(=O)c1ccccc1NCc1nc2ccccc2[nH]1, fitness:0.353079639074
CC(c1ccc(Cl)cc1)N1C(=O)COc2cccnc21, fitness:0.353079639074
CC(NC(=O)c1cccc(-n2ccnn2)c1)c1ccncc1, fitness:0.363901018923
CCOC(=O)c1ccccc1N1CCN(C(=O)c2ccccc2F)CC1, fitness:0.249791840133
CC(C)n1c(C(=O)NC2CCCC2)cc2ccccc21, fitness:0.333333333333
Cc1nccc(C(=O)NCCCOc2ccccc2Cl)n1, fitness:0.414364640884
Cc1c(C(C)(C)C)nc(C(=O)NCc2ccoc2)[nH]c1=O, fitness:0.327391778829
CC(=O)Nc1ccc(C2Nc3ccccc3C(=O)N2CC#N)cc1, fitness:0.3159003159
CC(C)NC(=O)C1NCC(=O)C1(N)Cc1ccccc1, fitness:0.279888044782
CCOc1ccccc1NC(=O)Cn1c(=O)[nH]c2ccccc21, fitness:0.269127258747
CCN(Cc1cccc(NC(=O)c2ccco2)c1)C(C)=O, fitness:0.339750849377
Cc1ccc(O)c(C(=O)N(CCC#N)Cc2cccnc2)c1, fitness:0.333555703803
CCC(C)NS(=O)(=O)c1ccc(Cn2cc(C)cn2)cc1, fitness:0.415564790329
N#Cc1ccccc1OCC(=O)NCC1CC1, fitness:0.226963231956
CC(OCC1CCCO1)C(=O)Nc1cccc(-c2nnnn2C)c1, fitness:0.338409475465
CCN(CC)C(=O)c1cccc(NC(=O)Cc2cc(C)on2)c1, fitness:0.386371619248
CC(=O)NCc1ccc(C(=O)Nc2ccc(O)c(C)c2)cc1, fitness:0.431880643895
Cc1cc(NC(=O)c2ccsc2)cc(NC(=O)c2ccccn2)c1, fitness:0.436999271668
Cc1ccc(NC(=O)CSc2ccc(F)cc2)cc1-n1cnnn1, fitness:0.438321853475
CC(CNS(=O)(=O)c1ccccc1C#N)N1CCOCC1, fitness:0.370644922165
Cc1nccc(CNC(=O)c2ccc(N(C)C)nc2)n1, fitness:0.527611677805
CC(=O)Nc1cc(C)ccc1C(=O)NCc1csc(C)n1, fitness:0.370644922165
Cc1ccc(-n2cc(C(=O)NCc3cccnc3)nn2)cc1C, fitness:0.420032310178
Cc1cscc1CN(C(=O)NCc1cccnc1)C(C)C, fitness:0.373260943332
CC(C)c1cc(CNC(=O)N2CCCCC2C)on1, fitness:0.296296296296
CCOC(=O)c1cc(C2CC2)n(Cc2ccc(OC)cc2)n1, fitness:0.327391778829
COc1cc(NC(=O)c2ccc3nncn3c2)cc(OC)c1, fitness:0.384911470362
COc1cc(OC)cc(C(=O)NC(C)C(=O)NC2CCCC2)c1, fitness:0.266429840142
CC(Cn1nnc2ccccc21)NC(=O)C1C=CCCC1, fitness:0.30518819939
Cc1onc(C2CN(C(=O)c3ccc(F)cc3)CCO2)c1C, fitness:0.296296296296
CC(C)(CNC(=O)c1[nH]c(=O)cc2c1C(=O)CC=C2)c1ccccc1, fitness:0.249910746162
O=C(NCc1ccccc1F)c1ccc(-n2cncn2)c(F)c1, fitness:0.296296296296
CC(C)N(Cc1ccccc1C#N)C(=O)c1cccc2[nH]nnc12, fitness:0.245527884953
N#Cc1ccccc1CNC(=O)c1nocc1-c1ccccc1, fitness:0.239808153477
Cc1ccc(C(N)=O)c(NC(=O)C(C)c2cncs2)c1, fitness:0.370644922165
CC(Cn1cncn1)NC(=O)c1n[nH]c2ccccc12, fitness:0.32154340836
CCN(Cc1ccc(C#N)cc1)C(=O)COc1ccccc1C#N, fitness:0.239808153477
COc1cc(OC)cc(C(C)NC(=O)CC2Cc3ccccc3N2)c1, fitness:0.254452926209
CC(C)N(CC1COc2ccccc2O1)C(=O)c1ccc(Cl)cc1, fitness:0.235109717868
CC(=O)NC1CCCC12COCCN(C(=O)c1cccs1)C2, fitness:0.233255581473
Cc1occc1C(=O)Nc1ccc2c(c1)ncn2CCO, fitness:0.445292620865
Cc1nnc(SCC(N)=O)n1-c1ccccc1C(F)(F)F, fitness:0.346287033474
Cc1csc(CNC(=O)N(C)CC(C)CO)c1, fitness:0.360144057623
O=C(COc1cccc(Cl)c1)Nc1ccn(Cc2cccnc2)n1, fitness:0.317662007624
Cc1cc(NC(=O)COc2ccccc2C(=O)NC2CCCC2)on1, fitness:0.29517874713
Cc1cccc(NC(=O)CSc2ncn[nH]2)c1C, fitness:0.384911470362
CC(=O)Nc1cccc(C(=O)Nc2cccc3cccnc23)c1, fitness:0.423565652676
CCOc1cccc(CN2CCN(C(=O)c3ccsc3)CC2)c1, fitness:0.254452926209
CS(=O)(=O)N1CCNCC1(N)c1cccc(C(F)(F)F)c1, fitness:0.370644922165
CC(C)OC(=O)c1ccc(NCc2ccsc2)cn1, fitness:0.370644922165
CN(CCc1ccccn1)C(=O)c1ccc(-n2cnnn2)cc1, fitness:0.379703141181
O=C(Cn1c(CO)nc2ccccc21)Nc1ccccc1F, fitness:0.346287033474
Cc1csc2c(=O)n(CC(=O)NC3CCCC(C)C3)cnc12, fitness:0.322788896062
CN(Cc1cccc(F)c1)C(=O)c1ccccc1N1CCC(=O)C1, fitness:0.310451879959
