Cc1ncc(C(=O)NCc2ccccc2F)c(N2CCCCC2)n1, fitness:1.31010521852
Cc1cc(C)cc(C(=O)Nc2nc(-c3cccnc3)cs2)c1, fitness:0.503727883806
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)c(F)c1, fitness:1.34119265238
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1cc(Br)ccc1NC(=O)Cn1ccnc1, fitness:0.158167419947
Cc1ccc(NC(=O)CSc2ccncc2)c(F)c1, fitness:0.0733534593046
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
Cc1ccc(NC(=O)CSc2ccncc2)cc1F, fitness:0.0959739292713
Cc1ccc(NC(=O)Cn2c(=O)[nH]c3ccccc3c2=O)cc1, fitness:0.19125830654
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
COc1cc(CNC(=O)NCC(=O)NC2CC2)ccc1C, fitness:0.51767903493
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1ccc(NC(=O)c2nccc3cc(N)ccc23)cc1, fitness:0.100718706055
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)c(F)c1, fitness:1.34119265238
Cc1ccc(NC(=O)CSc2ccncc2)c(F)c1, fitness:0.0733534593046
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)c(F)c1, fitness:1.34119265238
Cc1c(Cl)cccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.63513003649
Cc1cc(C)cc(OCC(=O)Nc2ccccc2-n2cnnn2)c1, fitness:1.1463870525
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1ccc(CNC(=O)NCC(O)c2ccc(Cl)cc2)cc1, fitness:0.0215177975973
Cc1ccc(NC(=O)Cn2cnc3ccsc3c2=O)c(F)c1, fitness:1.61851943267
Cc1ccc(NC(=O)CSc2nccc(=O)[nH]2)c(F)c1, fitness:1.69342369753
Cc1ccc(NC(=O)CSc2nccc(=O)[nH]2)c(F)c1, fitness:1.69342369753
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1ccc(NC(=O)CSc2ccccn2)c(F)c1, fitness:0.396480543154
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)c(F)c1, fitness:1.34119265238
Cc1ccc(NC(=O)CSc2ccccn2)c(F)c1, fitness:0.396480543154
Cc1ccc(NC(=O)Cn2c(C)csc2=O)c(F)c1, fitness:0.164531036196
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1ccc(CNC(=O)c2cccc(OCC(F)F)n2)cc1, fitness:0.396282485175
Cc1c(NC(=O)NCc2ccncc2)cccc1OCC(F)F, fitness:1.06380834415
Cc1c(Cl)cccc1NC(=O)CSc1cncn(C)c1=O, fitness:1.3313305815
Cc1ccc(NC(=O)Cn2ccc(=O)n(C)c2=O)cc1, fitness:0.0140485600198
Cc1cc(C)cc(OCC(=O)Nc2ccccc2-n2cnnn2)c1, fitness:1.1463870525
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1ccc(NC(=O)COc2ccc(C#N)cc2)c(F)c1, fitness:0.264397660951
Cc1ccc(S(=O)(=O)NC(C)NC(=O)c2ccncc2)cc1, fitness:0.0148275712811
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)COC(=O)c2n[nH]c3ccccc23)cc1, fitness:0.546543743428
Cc1cc(NC(=O)CNC(=O)c2ccc(F)cc2C)no1, fitness:0.470493853488
Cc1cc(Cl)ccc1NC(=O)CSc1cnc[nH]c1=O, fitness:1.3637241105
Cc1cc(C)cc(OCC(=O)Nc2cccnc2-n2ccnc2)c1, fitness:1.27083600798
Cc1ccc(NC(=O)CSc2ccccn2)c(F)c1, fitness:0.396480543154
Cc1ccc(NC(=O)Cn2c(=O)[nH]c(=O)c3ccccc32)cc1, fitness:0.186043943118
COc1ccc(C(=O)Nc2ccc(F)cc2)cc1OC, fitness:0.00326678287484
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
Cc1ccc(C(=O)NC(C)NS(=O)(=O)c2ccncc2)cc1, fitness:0.0146459194326
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1cc(Cl)ccc1NC(=O)CSc1ccncc1, fitness:0.0805953889285
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)CSc2cnc[nH]c2=O)cc1, fitness:0.108389294535
Cc1ccc(NC(=O)CSc2ccncc2)cc1F, fitness:0.0959739292713
Cc1cc(Br)ccc1NC(=O)Cn1ccc(=O)[nH]c1=O, fitness:0.297346802677
Cc1cc(C)cc(OCC(=O)Nc2ccc(-n3cnnn3)cc2)c1, fitness:0.744696946196
Cc1ccc(C(=O)NCC(=O)Nc2ccc(OC(F)F)cc2)cc1, fitness:0.0818667137721
Cc1cc(Cl)ccc1NC(=O)CSc1cnc[nH]c1=O, fitness:1.3637241105
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1cc(Cl)ccc1NC(=O)CSc1nccc(=O)[nH]1, fitness:1.83266944532
Cc1cc(Cl)ccc1NC(=O)CSc1ccncc1, fitness:0.0805953889285
Cc1ccc(NC(=O)CNS(=O)(=O)c2ccc(Cl)cc2)cc1, fitness:0.0138272034404
CCN(Cc1ccc(NC(=O)c2ccncc2)cc1)C(C)=O, fitness:0.0343461110745
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
Cc1ccc(NC(=O)NCc2cnc3sccn23)cc1, fitness:0.583614548402
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)CSc2ccncc2)cc1F, fitness:0.0959739292713
Cc1c(NC(=O)Cn2ccccc2=O)cccc1OCC(F)(F)F, fitness:0.896188797235
Cc1ccc(NC(=O)CSc2nnnn2-c2ccc(O)cc2)cc1, fitness:1.32826369344
COc1ccc(C(=O)Nc2ccc(C(=O)NC3CC3)cc2)cc1, fitness:0.00373630699429
Cc1ccc(NC(=O)CSc2ccncc2)c(F)c1, fitness:0.0733534593046
Cc1ccc(S(=O)(=O)NCCNC(=O)c2ccccn2)cc1, fitness:0.114604723039
Cc1ccc(NC(=O)NCc2ccc(OC3CCCC3)nc2)cc1, fitness:1.26771421143
N#Cc1ccc(NC(=O)c2cncc3c(N)cccc23)cc1, fitness:0.160074500051
COc1ccc(C(=O)NCC(=O)Nc2ccc(F)cc2)cc1, fitness:0.0202840473629
NC(=O)Cc1ccc(NC(=O)NCc2ccccn2)cc1, fitness:0.0669353682002
Cc1ccc(NC(=O)CSc2nncs2)c(F)c1, fitness:0.527282321032
CC(=O)Nc1ccc(NCc2nc(C)cs2)cc1, fitness:0.00911942026182
Cc1ccc(S(=O)(=O)Nc2ccc(NC(=O)C3CC3)cc2)cc1, fitness:0.00748333564793
COc1ccc(C(=O)Nc2ccn(C3CCCCC3)c(=O)n2)cc1, fitness:0.997077896055
COc1cccc(C(=O)NCC(=O)Nc2ccc(F)cc2)c1F, fitness:0.136997381903
Cc1cc(NC(=O)Cn2ccccc2=O)cc(OCC(F)(F)F)c1, fitness:1.08815839282
Cc1ccc(S(=O)(=O)NC(C)NC(=O)c2ccncc2)cc1, fitness:0.0148275712811
Cc1ccc(NC(=O)Cn2c3c(sc2=O)CCCC3)cc1, fitness:0.166266686655
Cc1cc(OCC(F)(F)F)ccc1NC(=O)NCc1ccncc1, fitness:1.1797010752
CC(=O)NCc1ccc(C(=O)Nc2ccc(OC(F)F)nc2)cc1, fitness:1.01544364657
Cc1ccc(NC(=O)CSc2ccncc2)c(F)c1, fitness:0.0733534593046
Cc1ccc(NC(=O)CSc2ccncc2)c(F)c1, fitness:0.0733534593046
Cc1c(Cl)cccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.40831954009
Nc1cc(=O)[nH]c(SCc2ccc(NC(=O)c3ccsc3)cc2)n1, fitness:1.10051592581
Cc1ccc(NC(=O)CSc2nccc(=O)[nH]2)c(F)c1, fitness:1.69342369753
Cc1ccncc1C(=O)NCC(C)(O)c1ccc(Cl)cc1, fitness:0.212058540375
Cc1cc(F)cc(OCC(=O)NCc2c[nH]c(=O)s2)c1, fitness:0.827596691822
CCOc1cccc(NC(=O)c2c3c(c[nH]c2=O)CCC3)c1, fitness:1.11473140967
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)Cn2cnc3sccc3c2=O)c(F)c1, fitness:1.64079994828
Cc1c(Cl)cccc1NC(=O)Cn1ccc(=O)n(C)c1=O, fitness:0.257563789646
Cc1cccc(NC(=O)CSc2cncn(C)c2=O)c1F, fitness:1.36343485271
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)c(F)c1, fitness:1.34119265238
Cc1ccc(NC(=O)CSc2cccnc2N)cc1, fitness:0.0892348246153
Cc1csc(=O)n1C(C)C(=O)Nc1cccc2c1OCCO2, fitness:0.769903187038
Cc1cc(Cl)ccc1NC(=O)CSc1nc(N)cc(=O)[nH]1, fitness:1.45916242073
CN(Cc1cccc(F)c1)C(=O)Nc1cccc(=O)[nH]1, fitness:0.149822852635
Cc1ccc(NC(=O)CSc2ccncc2)cc1F, fitness:0.0959739292713
CC(=O)Nc1cc(C(=O)NCc2ccoc2)ccc1F, fitness:0.225524778805
CC(=O)Nc1cc(C(=O)NCc2ccncc2)ccc1C, fitness:0.0786155675735
O=C(CNC(=O)c1ccc(Cl)cc1O)NC1CC1, fitness:0.0293723306509
Cc1cc(Cl)ccc1NC(=O)NCc1ccncc1, fitness:0.0504403725144
Cc1ccc(OCC(=O)Nc2ccccc2-n2cnnn2)cc1, fitness:1.23459699013
Cc1cc(F)ccc1NC(=O)CSc1cnc[nH]c1=O, fitness:1.3577741053
Cc1ccc(NC(=O)CSc2nc(N)cc(=O)[nH]2)cc1, fitness:0.346638016578
Cc1ccc(NC(=O)COC(=O)c2ccc[nH]c2=O)cc1, fitness:0.0990225530089
Cc1ccc(NC(=O)COc2ccc(-n3cnnn3)cc2)c(F)c1, fitness:1.21327598931
CCSc1ccc(C(=O)Nc2cncs2)cc1, fitness:0.0169691446974
O=C(NCc1ccc(OC(F)F)cc1)c1ccc2nncn2c1, fitness:0.845266567688
Cc1ccc(NC(=O)CSc2ncc3ccccn23)cc1F, fitness:1.95902565836
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(OCCCNC(=O)Nc2ccncc2)cc1C, fitness:0.372752711657
Cc1ccc(NC(=O)CSc2ccccn2)cc1C, fitness:0.106527044353
CSc1ccc(NC(=O)Cc2ccccn2)cc1, fitness:0.0176249419829
Cc1ccc(CNC(=O)C2COc3ccccc3O2)cc1, fitness:0.041587142434
Cc1ccc(CNS(=O)(=O)c2cccc3cccnc23)cc1, fitness:0.0475047962441
Cc1ccc(CNS(=O)(=O)Cc2ccccn2)cc1, fitness:0.00956619731227
COc1ccc(-c2n[nH]c(SCC(=O)NC3CC3)n2)cc1, fitness:1.07538751911
COc1ccc(CC(=O)Nc2nnc(C3CC3)s2)cc1, fitness:0.233915351654
CSc1ccc(NC(=O)Cc2ccccn2)cc1, fitness:0.0176249419829
COc1ccc(CNC(=O)C2COc3ccccc3O2)cc1O, fitness:0.798302005347
COc1ccc(-c2cc(=O)n(CC(=O)NC3CC3)cn2)cc1, fitness:1.24514445922
Cc1cccc(NC(=O)CSc2ccccn2)c1C, fitness:0.086011141956
COc1ccc(CNC(=O)C2COc3ccccc3O2)cc1, fitness:0.160197735217
CSc1cccc(NC(=O)COc2ccc(C#N)cc2)c1, fitness:0.441733313516
COc1ccc(CC(=O)Nc2cc(C)n[nH]2)cc1OC, fitness:0.081351932201
Cc1ccc(S(=O)(=O)NCC2CCCO2)cc1C, fitness:0.0407997549546
Cc1ccc(C)c(NCc2cc(=O)n3ccccc3n2)c1, fitness:0.390339823567
Cc1ccc(CNS(=O)(=O)Cc2ccccc2)cc1, fitness:0.000369297119512
Cc1ccc(C(=O)NCc2cc(-c3cccs3)on2)cc1C, fitness:1.43459248061
COc1ccccc1CNC(=O)Cc1cn2ccccc2n1, fitness:1.31894301401
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1cc(C)cc(OCCNC(=O)C2COc3ccccc3O2)c1, fitness:0.798652457782
Cc1ccc(NCC(=O)N2CCCC2)cc1Br, fitness:0.0206414523077
Cc1ccc(NCC(=O)NCc2cccs2)cc1C, fitness:0.0851626246034
Cc1ccc(NCC(=O)N2CCCC2)cc1Br, fitness:0.0206414523077
Cc1ccc(C)c(NC(=O)CSc2ncnc3sccc23)c1, fitness:1.77874373671
Cc1ccc(NCC(=O)OCC2CCCO2)cc1C, fitness:0.536684958205
N#Cc1ccc(NCC(=O)OCc2ccccc2)cc1, fitness:0.0109166433991
N#Cc1ccc(NCC(=O)NCc2cccs2)cc1, fitness:0.0502967599199
N#Cc1ccc(NC(=O)CCOc2ccc(C#N)cc2)cc1, fitness:0.00166808362976
N#Cc1ccc(NCC(=O)NCc2ccc3c(c2)OCCO3)cc1, fitness:0.586008840727
Cc1cc(Br)cc(C)c1NC(=O)CC1CCCO1, fitness:0.0263937764559
Cc1ccc(CNC(=O)C2COc3ccccc3O2)cc1, fitness:0.041587142434
Cc1cc(C)cc(NCC(O)c2cccs2)c1, fitness:0.00203993332189
Cc1ccc(C(=O)NCc2cc(-c3cccs3)on2)cc1C, fitness:1.43459248061
Cc1ccc(NC(=O)CSc2nccnc2-n2cccn2)cc1C, fitness:1.59387974341
N#Cc1cccc(NCC(=O)OCc2ccccc2F)c1, fitness:0.395152116146
N#Cc1ccc(OCC(=O)NCc2ccc3c(c2)OCCO3)cc1, fitness:0.800745235032
Cc1ccc(C(=O)NCc2cc(C(C)C)no2)cc1C, fitness:0.107198471365
N#Cc1ccc(NCC(=O)NCc2cccs2)cc1, fitness:0.0502967599199
N#Cc1ccc(NC(=O)CCc2cccs2)cc1, fitness:0.0200590201941
N#Cc1ccc(NC(=O)CCOc2ccc(C#N)cc2)cc1, fitness:0.00166808362976
Cc1ccc(NC(=O)CCSc2ncccn2)cc1C, fitness:0.0903289393853
COc1cccc(C2CCCN2C(=O)COc2ccccc2)c1, fitness:0.528998609432
N#Cc1ccc(NC(=O)CCc2ccsc2)cc1, fitness:0.0193215287198
N#CCOc1cccc(CC(=O)Nc2ccc(C#N)cc2)c1, fitness:0.230719700418
Cc1ccc(C)c(NC(=O)CCn2cc(Br)cn2)c1, fitness:0.393472173477
N#Cc1ccc(NCC(=O)N2CCC(c3ccsc3)CC2)cc1, fitness:0.857906531059
N#Cc1ccc(NCC(=O)NCc2ccc(Cl)cc2)cc1, fitness:0.0167175722669
Cc1ccc(C)c(NCC(O)c2cccs2)c1, fitness:0.0125437260815
COc1ccc(C2CCCN2C(=O)Cc2cccs2)cc1, fitness:0.762031708342
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NCc2csc(-c3ccco3)n2)cc1, fitness:0.0708216652981
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NC(=O)CC2CCCO2)cc1Br, fitness:0.221617283426
Cc1ccc(NC(=O)CSc2ncnc3sccc23)cc1C, fitness:1.90838992435
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NCc2cc(-c3cccnc3)on2)cc1C, fitness:0.361340426803
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1cc(N2CCCC2C(=O)Nc2cccnc2)nc(C)n1, fitness:1.33210043792
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1F, fitness:1.66047359182
Cc1ccc(NC(=O)CSc2ncnc3nc[nH]c23)cc1C, fitness:1.69672872722
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NC(=O)C2COc3ccccc3O2)c(O)c1, fitness:0.208121146346
Cc1ccc(NC(=O)CSc2ncnc3sccc23)cc1C, fitness:1.90838992435
N#Cc1ccc(NCC(=O)OCc2ccc(F)cc2)cc1, fitness:0.0271142651986
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1F, fitness:1.66047359182
Cc1ccc(C)c(OCC(O)CNc2ccc(C#N)cc2)c1, fitness:0.239837665674
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1F, fitness:1.66047359182
N#Cc1ccc(NCC(=O)c2ccc3c(c2)OCCO3)cc1, fitness:0.0781370982179
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1F, fitness:1.66047359182
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
N#Cc1ccc(NCC(=O)c2ccc3c(c2)OCCO3)cc1, fitness:0.0781370982179
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(C)c2c1CCNC2CNC(=O)c1ccon1, fitness:0.924422862139
Cc1ccc(NC(=O)CSc2nc(C3CC3)n[nH]2)cc1Cl, fitness:1.7271725064
Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1F, fitness:1.66047359182
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
COc1ccc(CC(=O)Nc2ccc(C#N)cc2)cc1, fitness:0.0124810450933
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ncc(C(=O)NCc2cscn2)c(N2CCCCC2)n1, fitness:1.14857297587
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(NC(=O)CSc2nnc(-c3cccnc3)n2C)cc1C, fitness:1.75301162497
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
N#Cc1ccc(NCC(=O)OCc2ccc(F)cc2)cc1, fitness:0.0271142651986
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
N#Cc1ccc(OCC(=O)NCc2ccc(Cl)cc2)cc1, fitness:0.0223102607357
N#CCOc1cccc(CC(=O)Nc2ccc(C#N)cc2)c1, fitness:0.230719700418
N#Cc1ccc(NC(=O)Cc2ccc(O)cc2)cc1, fitness:0.00236572564044
CNc1cc(C2CCCN2C(=O)COC)nc(-c2cccnc2)n1, fitness:1.00521817104
Cc1cccc(C)c1OCC(=O)NCc1cc2ccccn2n1, fitness:1.28021270546
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1cc(C(=O)N2CCCC2)ccc1NCc1cccs1, fitness:0.869719479665
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccccc1NC(=O)Cc1cc(-c2cccs2)on1, fitness:1.46968931072
N#Cc1ccc(NCc2csc(-c3ccsc3)n2)cc1, fitness:0.0812403512521
Cc1ccc(F)cc1NC(=O)Cc1cc(-c2cccs2)on1, fitness:1.50363021872
COc1ccc(CC(=O)Nc2cccc(C#N)c2)cc1, fitness:0.109108645223
Cc1ccc(NC(=O)C2COc3ccccc3O2)cc1C, fitness:0.0634653031128
Cc1ccc(NC(=O)Cc2cc(-c3cccs3)on2)cc1F, fitness:1.66047359182
N#Cc1ccc(NCC(=O)c2ccc3c(c2)OCCO3)cc1, fitness:0.0781370982179
Cc1ccc(S(=O)(=O)NCc2cscn2)cc1C, fitness:0.0295735211362
N#Cc1cccc(NCC(=O)OCc2ccccc2F)c1, fitness:0.395152116146
Cc1ccc(NC(=O)CCc2cccs2)cc1S(N)(=O)=O, fitness:1.44683739439
Cc1ccc(C)c(NC(=O)CSc2ncc(C#N)c(N)n2)c1, fitness:1.65523157088
N#CCOc1ccc(CC(=O)Nc2ccc(C#N)cc2)cc1, fitness:0.0239047643408
Cc1cc(NC(=O)Cc2cccs2)ccc1N1CCCC1=O, fitness:1.53311676513
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
N#Cc1ccc(NC(=O)CCSc2ccccc2)cc1, fitness:0.0108394236784
N#Cc1ccc(OCCNC(=O)c2cccnc2)cc1, fitness:0.249654263823
Cc1ccc(NC(=O)CSc2ncnc3sccc23)cc1F, fitness:1.95345370631
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
Cc1ccc(NC(=O)CSc2ncccn2)c(Br)c1, fitness:0.127117396015
Cc1ccc(NC(=O)CSc2ncccn2)cc1Cl, fitness:0.169562444753
N#CCOc1cccc(CC(=O)Nc2ccc(C#N)cc2)c1, fitness:0.230719700418
N#CCOc1cccc(CC(=O)Nc2ccc(C#N)cc2)c1, fitness:0.230719700418
Cc1ccc(NC(=O)CSc2ncnc3sccc23)cc1F, fitness:1.95345370631
N#CCOc1cccc(CC(=O)Nc2ccc(C#N)cc2)c1, fitness:0.230719700418
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(NC(=O)C2COc3ccccc3O2)cc1C, fitness:0.0634653031128
Cc1ccc(C(=O)N(Cc2cccs2)CC2CCCO2)cc1C, fitness:1.02393770879
Cc1ccc(C(=O)NCc2cc(-c3cccs3)on2)cc1C, fitness:1.43459248061
Cc1ccc(C(=O)NCC2COc3ccccc3O2)cc1O, fitness:1.13755876923
Cc1ccc(NCC(=O)N2CCCC2)cc1Br, fitness:0.0206414523077
Cc1ccc(OCC(=O)Nc2cccc3ncccc23)cc1C, fitness:2.17151074779
Cc1ccc(OCC(=O)Nc2cccc3ncccc23)cc1C, fitness:2.17151074779
Cc1ccc(NC(=O)C2COc3ccccc3O2)cc1C, fitness:0.0634653031128
Cc1ccc(C(=O)NCc2cc(-c3cccs3)on2)cc1C, fitness:1.43459248061
Cc1ccc(OCC(=O)Nc2cccc3cccnc23)cc1C, fitness:1.11774021983
Cc1ccc(OCC(=O)Nc2cccc3ncccc23)cc1C, fitness:2.17151074779
Cc1ccc(NC(=O)CSc2ncnc3sccc23)cc1C, fitness:1.90838992435
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(NC(=O)C2COc3ccccc3O2)cc1Br, fitness:0.29106755624
Cc1ccc(NCC(O)c2cccs2)cc1C, fitness:0.00832738346353
Cc1ccc(NCC(O)c2cccs2)cc1C, fitness:0.00832738346353
Cc1ccc(NCC(O)c2cccs2)cc1C, fitness:0.00832738346353
Cc1ccc(OCC(=O)NCc2cccnc2)cc1C, fitness:0.428342782386
Cc1ccc(NC(=O)C2COc3ccccc3O2)cc1C, fitness:0.0634653031128
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1cc(C(=O)NCc2cccs2)ccc1-n1nnc2cccnc21, fitness:1.57053389178
Cc1ccc(NCC(O)c2cccs2)cc1C, fitness:0.00832738346353
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(CNS(=O)(=O)c2csc(C(N)=O)c2)cc1, fitness:0.0588636482926
Cc1cc(NC(=O)Cc2cccs2)c2ncccc2c1, fitness:1.0269470156
Cc1ccc(C(=O)NCc2cc(-c3cccs3)on2)cc1C, fitness:1.43459248061
Cc1ccc(O)c(NC(=O)Cc2cccc3cccnc23)c1, fitness:0.999947207122
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Nc1ccc(C(=O)NCC2COc3ccccc3O2)cc1, fitness:0.0350090163213
Cc1ccc(NC(=O)CSc2nccc(N)n2)cc1Cl, fitness:2.35489428064
